game_id,week,home_team,away_team,spread
401757264,4,Middle Tennessee,Marshall,2.5
401752847,4,USC,Michigan State,-13.5
401760373,4,Colorado State,UTSA,10.5
401756897,4,Colorado,Wyoming,-20.5
401754540,4,San Diego State,California,3.5
401757264,4,Middle Tennessee,Marshall,2.5
401752847,4,USC,Michigan State,-13.5
401760373,4,Colorado State,UTSA,10.5
401756897,4,Colorado,Wyoming,-20.5
401754540,4,San Diego State,California,3.5
401757264,4,Middle Tennessee,Marshall,2.5
401752847,4,USC,Michigan State,-13.5
401760373,4,Colorado State,UTSA,10.5
401756897,4,Colorado,Wyoming,-20.5
401754540,4,San Diego State,California,3.5
401757264,4,Middle Tennessee,Marshall,2.5
401752847,4,USC,Michigan State,-13.5
401760373,4,Colorado State,UTSA,10.5
401756897,4,Colorado,Wyoming,-20.5
401754540,4,San Diego State,California,3.5
401757264,4,Middle Tennessee,Marshall,2.5
401752847,4,USC,Michigan State,-13.5
401760373,4,Colorado State,UTSA,10.5
401756897,4,Colorado,Wyoming,-20.5
401754540,4,San Diego State,California,3.5
